entry_id,label,entry_type,baseline_date_label,2001_2009,2010_2019,2020_cutoff,pilot_packet,regional_language_gaps,review_outcome,reviewed_through,next_action
oral,Oral history,Method or approach,1940s institutions · expansion from the 1960s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
quant,Quantitative history,Method or approach,1950s–70s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
context,Contextual intellectual history / Cambridge School,School or movement,1960s onward · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
dependency,Dependency / world-systems,Teaching umbrella,1960s–70s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
culture,New cultural history,Research field,1970s–80s expansion · coverage through 2000,not_researched,not_researched,pilot_in_progress,history-of-knowledge,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
language,Linguistic turn / poststructuralism,Teaching umbrella,1970s–90s reception · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
micro,Microhistory / everyday life,Teaching umbrella,1970s–80s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
environment,Environmental history,Research field,1970s consolidation · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
subaltern,Subaltern Studies,School or movement,1982 onward · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
gender,Gender & racial formation,Teaching umbrella,Earlier roots · 1980s–90s expansion · coverage through 2000,partial_pilot_review,partial_pilot_review,partial_pilot_review,gender-integration/batch.json,"Selected Euro-Atlantic, Indian and Iranian cases through English-language sources; African, Latin American, East Asian, Indigenous and original-language surveys outstanding.",pending,,Complete field survey and reception checks; distinguish gender history from the racial-formation umbrella. Review trans-history candidate separately; see gender-integration/REPORT.md.
queer,Sexuality & queer history,Research field,1970s roots; 1990s turn · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
post,Postcolonial history / critique,Teaching umbrella,1970s roots · expansion from the 1980s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
memory,Memory studies,Research field,Older roots · 1980s–90s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
global,World / global / connected history,Teaching umbrella,1960s roots; 1990s growth · coverage through 2000,not_researched,pilot_in_progress,pilot_in_progress,great-divergence,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
indigenous,Indigenous history & decolonizing methods,Research field,Older roots; 1970s–90s growth · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
freud,Freudian psychoanalysis,Intellectual tradition,1890s onward; divergent later schools · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
science,History of science,Research field,Earlier roots · History of Science Society founded 1924 · later approaches · coverage through 2000,not_researched,pilot_in_progress,pilot_in_progress,history-of-knowledge,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
ssk,Sociology of scientific knowledge / SSK,School or movement,Strong Programme · 1970s onward · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
sts,Science and technology studies / STS,Research field,Interdisciplinary consolidation · 1970s–90s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
conceptual,Conceptual history / Begriffsgeschichte,Method or approach,Koselleck · 1960s–90s development · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
psychohistory,Psychohistory / psychoanalytic history,Method or approach,Earlier roots; postwar growth · 1950s–80s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
historicism,Historicism & idealist philosophies of history,Teaching umbrella,1800s roots · Dilthey 1883 · Croce 1917 · Meinecke 1936 · Collingwood 1946 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
philhistory,Explanation & objectivity debates,Debate,Earlier roots · Becker address 1931 · Hempel 1942 · Carr 1961 · Elton 1967 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
frankfurt,Frankfurt School / critical theory,School or movement,1920s roots · Benjamin · Adorno · Habermas · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
practice,Practice theory,Method or approach,Bourdieu · de Certeau · Sewell · 1970s–90s development · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
culturalstudies,British cultural studies,School or movement,Hoggart · Williams · Hall · CCCS 1964 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
progressive,Progressive & consensus historiography (US),Teaching umbrella,Contrasting frameworks prominent in the 1890s–1950s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
newleft,New Left & radical history (US),School or movement,1950s–70s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
historyworkshop,History Workshop movement,School or movement,Ruskin College 1967 · journal 1976 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
demography,Historical demography & history of the family,Teaching umbrella,Henry · Cambridge Group · 1950s–70s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
revival,Revival of narrative / debate over quantification,Debate,Stone 1979 · Hobsbawm 1980 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
historicalsociology,Comparative historical sociology,Research field,Comparative programmes · 1960s–90s · earlier resources · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
bielefeld,West German historical social science / Sonderweg,Teaching umbrella,Wehler · Kocka · 1960s–90s debates and extensions · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
holocaust,Holocaust historiography,Research field,Earlier documentation; 1960s–90s debates · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
nationalismstudies,Nationalism studies,Research field,Modernist debates · 1983 landmark works · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
africanhist,African history: postwar institutional expansion,Research field,Older traditions · Ibadan · Dar es Salaam · expansion from the 1950s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
atlantic,Atlantic & diaspora histories,Teaching umbrella,Earlier roots; 1960s–90s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
technology,History of technology,Research field,Enduring field · SHOT 1958 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
consumption,Consumption & material culture,Research field,Earlier roots; 1980s–90s expansion · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
truthdebate,Historians’ responses to postmodernism,Debate,Plural reassessments · 1990s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
publichistory,Public history,Research field,Earlier public practices · US training discussions 1975 · The Public Historian 1978 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
medicalhistory,Medical & health history,Research field,Earlier medical scholarship · social-medicine interventions 1930s · later social histories · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
urbanhistory,Urban history,Research field,Earlier city histories · postwar expansion · Urban History Yearbook 1974 · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
spatialhistory,Spatial history / Historical geography,Research field,Sauer 1925 · Hoskins 1955 · critical spatial studies and historical GIS by the 1990s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
intellectualhistory,Intellectual history,Research field,Earlier histories of thought · Lovejoy 1936 · Skinner 1969 · plural programmes through the 1990s · coverage through 2000,not_researched,not_researched,pilot_in_progress,history-of-knowledge,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
labourhistory,Labour history,Research field,Webbs 1894/1920 · Thompson 1963 · expanding comparative and feminist inquiries in the 1970s–1990s · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
ethnohistory,Ethnohistory,Research field,Earlier interdisciplinary work · Great Lakes–Ohio Valley project 1953 · Lurie 1961 · continuing regional programmes · coverage through 2000,not_researched,not_researched,not_researched,,not_assessed,pending,,Complete field survey and regional/language check; pilot passages do not constitute full-field review.
